name,html_link,oldest_commit_date,newest_commit_date,days_between_commits,repo_creation_date,days_between_creation
mael25/CBS2,https://github.com/mael25/CBS2,2021-11-08,2021-11-08,0,2021-11-08,0
ptrckhmmr/Deep-Reinforcement-Learning,https://github.com/ptrckhmmr/Deep-Reinforcement-Learning,2020-12-24,2020-12-24,0,2020-12-24,0
anyboby/CarlaRL,https://github.com/anyboby/CarlaRL,2019-05-19,2021-01-28,620,2021-01-27,1
AICPS/roadscene2vec,https://github.com/AICPS/roadscene2vec,2021-06-15,2021-09-19,96,2021-06-15,96
mottajacopo/ScenarioGeneratorWorkflow,https://github.com/mottajacopo/ScenarioGeneratorWorkflow,2021-02-10,2021-03-18,36,2021-02-10,36
yixiao1/Action-Based-Representation-Learning,https://github.com/yixiao1/Action-Based-Representation-Learning,2020-08-07,2020-10-26,80,2020-08-07,80
opendilab/DI-drive,https://github.com/opendilab/DI-drive,2021-07-07,2022-01-06,183,2021-07-07,183
TinaMenke/Deep-Reinforcement-Learning,https://github.com/TinaMenke/Deep-Reinforcement-Learning,2020-03-21,2020-03-21,0,2020-03-21,0
zaidtahirbutt/Situation-Coverage-based-AV-Testing-Framework-in-CARLA,https://github.com/zaidtahirbutt/Situation-Coverage-based-AV-Testing-Framework-in-CARLA,2021-07-14,2022-01-14,184,2021-07-14,184
Skocimis/pucacLasera,https://github.com/Skocimis/pucacLasera,2021-12-10,2021-12-10,0,2021-12-10,0
aadeshnpn/LTLf2BT,https://github.com/aadeshnpn/LTLf2BT,2021-03-17,2021-11-09,237,2021-03-17,237
carla-simulator/scenario_runner,https://github.com/carla-simulator/scenario_runner,2018-11-19,2021-12-20,1127,2018-11-19,1127
aadeshnpn/PyGoal,https://github.com/aadeshnpn/PyGoal,2020-01-21,2021-03-04,408,2020-01-21,408
ygmrsl/ThinkCar,https://github.com/ygmrsl/ThinkCar,2021-04-04,2021-07-09,96,2021-04-05,95
emmilner/swarm_sim,https://github.com/emmilner/swarm_sim,2020-08-18,2021-03-19,213,2020-08-18,213
KeyingLucyWang/SURF_Safe_Reconfiguration,https://github.com/KeyingLucyWang/SURF_Safe_Reconfiguration,2020-07-03,2020-07-28,25,2020-07-03,25
NickNair/GigaRoboticsArtpark,https://github.com/NickNair/GigaRoboticsArtpark,2021-09-05,2021-09-06,1,2021-09-05,1
wmartis/CARLA-Highway-Crossing-Scenario,https://github.com/wmartis/CARLA-Highway-Crossing-Scenario,2021-05-21,2021-05-21,0,2021-05-21,0
hofbi/driver-awareness,https://github.com/hofbi/driver-awareness,2020-11-03,2021-10-23,354,2020-11-03,354
UVA-DSA/Proto-Modeling,https://github.com/UVA-DSA/Proto-Modeling,2020-09-24,2020-09-24,0,2020-09-24,0
UVA-DSA/EMS-Pipeline,https://github.com/UVA-DSA/EMS-Pipeline,2017-08-10,2021-07-16,1436,2017-08-10,1436
UVA-DSA/NIST_Utils,https://github.com/UVA-DSA/NIST_Utils,2018-10-10,2020-07-13,642,2019-02-11,518
JJJayyyy/AIM_TRUST,https://github.com/JJJayyyy/AIM_TRUST,2020-10-26,2021-03-12,137,2020-10-26,137
felipecode/cexp,https://github.com/felipecode/cexp,2019-03-10,2019-11-05,240,2019-03-10,240
sisl/AutonomousRiskFramework.jl,https://github.com/sisl/AutonomousRiskFramework.jl,2020-09-19,2022-01-14,482,2020-09-18,483
Ilethas/SC2-ProtossBot,https://github.com/Ilethas/SC2-ProtossBot,2022-01-13,2022-01-13,0,2022-01-13,0
gabrielsr/hmrs_executor,https://github.com/gabrielsr/hmrs_executor,2020-10-09,2021-08-02,297,2020-10-09,297
anonfse/COSAL_Anonymized,https://github.com/anonfse/COSAL_Anonymized,2021-06-04,2021-06-24,20,2021-06-04,20
DynamicCodeSearch/COSAL,https://github.com/DynamicCodeSearch/COSAL,2020-08-26,2021-07-12,320,2020-08-26,320
DynamicCodeSearch/SLACC,https://github.com/DynamicCodeSearch/SLACC,2018-01-12,2020-02-17,766,2020-01-22,26
UVA-DSA/Feature-Extraction-Protocol-Modelling,https://github.com/UVA-DSA/Feature-Extraction-Protocol-Modelling,2018-02-27,2018-02-27,0,2018-02-27,0
NaryeoH/scenario_runner,https://github.com/NaryeoH/scenario_runner,2021-02-19,2021-11-07,261,2021-02-19,261
novigrads/NIST_Project_utils,https://github.com/novigrads/NIST_Project_utils,2018-10-10,2019-01-23,105,2018-10-10,105
BoshChallenge-50Special/SimulatorCode,https://github.com/BoshChallenge-50Special/SimulatorCode,2021-01-30,2021-05-29,119,2021-01-30,119
HARPLab/DReyeVR,https://github.com/HARPLab/DReyeVR,2022-01-07,2022-01-12,5,2022-01-07,5
stefgina/pacman-AI,https://github.com/stefgina/pacman-AI,2021-03-11,2021-03-12,1,2021-03-11,1
SelfDriveGuard/sdg-engine,https://github.com/SelfDriveGuard/sdg-engine,2021-03-09,2021-06-09,92,2021-03-10,91
Gastd/morse_simulation,https://github.com/Gastd/morse_simulation,2021-02-08,2021-09-21,225,2021-02-14,219
AveryWenwenSi/private,https://github.com/AveryWenwenSi/private,2021-08-31,2021-08-31,0,2021-08-31,0
praveen-palanisamy/macad-gym,https://github.com/praveen-palanisamy/macad-gym,2018-10-08,2020-08-03,665,2019-05-14,447
hsyoon94/ExplorationStrategy,https://github.com/hsyoon94/ExplorationStrategy,2020-10-28,2020-10-28,0,2020-10-28,0
aleallievi/Carla_RL,https://github.com/aleallievi/Carla_RL,2020-06-17,2021-03-24,280,2021-01-18,65
